ts_utc,site,http_code,time_starttransfer,time_total,size_download,exit_code
2026-05-27T22:28:54+00:00,https://www.google.com/,200,0.136656,0.191544,80773,0
2026-05-27T22:28:56+00:00,https://www.cloudflare.com/,200,0.356093,0.539029,1376848,0
2026-05-27T22:28:59+00:00,https://github.com/,200,0.226086,0.597332,570733,0
2026-05-27T22:29:01+00:00,https://www.wikipedia.org/,301,0.132630,0.132716,274,0
2026-05-27T22:29:04+00:00,https://news.ycombinator.com/,200,0.264709,0.318009,34734,0
2026-05-27T22:29:06+00:00,https://www.bbc.com/news,200,0.210130,0.341008,321961,0
2026-05-27T22:29:08+00:00,https://i.imgur.com/aB6Z9zN.jpg,302,0.273610,0.273661,0,0
2026-05-27T22:29:11+00:00,https://www.google.com/,200,0.168304,0.224158,80791,0
2026-05-27T22:29:13+00:00,https://www.cloudflare.com/,200,0.308418,0.489466,1376848,0
2026-05-27T22:29:15+00:00,https://github.com/,200,0.196663,0.519416,570707,0
2026-05-27T22:29:18+00:00,https://www.wikipedia.org/,301,0.101500,0.101577,274,0
2026-05-27T22:29:20+00:00,https://news.ycombinator.com/,200,0.224939,0.280009,34734,0
2026-05-27T22:29:22+00:00,https://www.bbc.com/news,200,0.147395,0.276966,322550,0
2026-05-27T22:29:25+00:00,https://i.imgur.com/aB6Z9zN.jpg,302,0.186426,0.186464,0,0
2026-05-27T22:29:27+00:00,https://www.google.com/,200,0.139694,0.193821,80777,0
2026-05-27T22:29:29+00:00,https://www.cloudflare.com/,200,0.394418,0.589702,1376848,0
2026-05-27T22:29:32+00:00,https://github.com/,200,0.231989,0.579212,570707,0
2026-05-27T22:29:34+00:00,https://www.wikipedia.org/,301,0.102747,0.102845,274,0
2026-05-27T22:29:36+00:00,https://news.ycombinator.com/,200,0.277665,0.333039,34734,0
2026-05-27T22:29:39+00:00,https://www.bbc.com/news,200,0.414863,0.517871,322550,0
2026-05-27T22:29:41+00:00,https://i.imgur.com/aB6Z9zN.jpg,302,0.244849,0.244892,0,0
2026-05-27T22:29:43+00:00,https://www.google.com/,200,0.163194,0.215479,80830,0
2026-05-27T22:29:46+00:00,https://www.cloudflare.com/,200,0.327536,0.516437,1376848,0
2026-05-27T22:29:48+00:00,https://github.com/,200,0.194390,0.534277,570706,0
2026-05-27T22:29:51+00:00,https://www.wikipedia.org/,301,0.098736,0.098811,274,0
2026-05-27T22:29:53+00:00,https://news.ycombinator.com/,200,0.226519,0.280402,34734,0
