t_unix,in_flent_window,ping_count,ping_max_ms,ping_mean_ms,health_status,download_state,download_state_reason,measurement_state,measurement_successful_count,measurement_stale,measurement_staleness_sec,signal_outlier_rate,signal_confidence,signal_warming_up,baseline_rtt_ms,load_rtt_ms,load_rtt_delta_us,cake_dl_peak_delay_us,cake_dl_drop_rate,cake_dl_backlog_suppressed_count,arb_active_primary_signal,arb_refractory_active,arb_rtt_confidence,irtt_rtt_mean_ms,irtt_loss_up_pct,irtt_loss_down_pct,irtt_asymmetry_ratio,journal_event_count,journal_first_message,alert_count
1780328046,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1780328047,False,0,,,healthy,GREEN,green_stable,healthy,3,False,0.06,0.267,0.978,False,22.27,24.07,1800,10,0.0,13330,queue,False,0.0,,,,,0,,0
1780328048,False,0,,,healthy,GREEN,green_stable,healthy,3,False,0.097,0.333,0.981,False,22.28,22.11,-171,12,0.0,13330,queue,False,0.0,,,,,0,,0
1780328049,False,0,,,healthy,GREEN,green_stable,healthy,3,False,0.127,0.2,0.984,False,22.29,23.52,1230,10,0.0,13330,queue,False,0.0,,,,,0,,0
1780328050,False,0,,,healthy,GREEN,green_stable,healthy,3,False,0.163,0.667,0.971,False,22.31,23.09,780,10,0.0,13330,queue,False,0.0,,,,,0,,0
1780328051,False,0,,,healthy,GREEN,green_stable,healthy,3,False,0.202,0.0,0.974,False,22.31,21.5,-810,15,0.0,13330,queue,False,0.0,,,,,0,,0
1780328052,False,0,,,healthy,GREEN,green_stable,healthy,3,False,0.225,0.2,0.958,False,22.28,22.8,519,8,0.0,13330,queue,False,0.0,,,,,0,,0
1780328053,False,0,,,healthy,GREEN,green_stable,healthy,3,False,0.247,0.4,0.964,False,22.27,23.77,1500,5,0.0,13330,queue,False,0.0,,,,,0,,0
1780328054,False,0,,,healthy,GREEN,green_stable,healthy,3,False,0.284,0.333,0.969,False,22.28,21.5,-781,5,0.0,13330,queue,False,0.0,,,,,0,,0
1780328055,False,0,,,healthy,GREEN,green_stable,healthy,3,False,0.074,0.0,0.974,False,22.26,21.83,-431,8,0.0,13330,queue,False,0.0,,,,,0,,0
1780328056,False,2,20.1,19.75,healthy,GREEN,green_stable,healthy,3,False,0.111,0.267,0.978,False,22.23,22.91,679,11,0.0,13330,queue,False,0.0,,,,,0,,0
1780328057,True,5,22.3,20.560000000000002,healthy,GREEN,green_stable,healthy,3,False,0.171,0.8,0.939,False,22.26,36.35,14090,9,0.0,13330,queue,False,0.0,,,,,0,,0
1780328058,True,5,27.6,22.3,healthy,GREEN,green_stable,healthy,3,False,0.206,0.0,0.93,False,22.25,22.49,239,10,0.0,13330,queue,False,0.0,,,,,0,,0
1780328059,True,5,24.6,21.4,healthy,GREEN,green_stable,healthy,3,False,0.232,0.867,0.941,False,22.25,21.25,-1000,5,0.0,13330,queue,False,0.0,,,,,0,,0
1780328060,True,5,28.5,21.78,healthy,GREEN,green_stable,healthy,3,False,0.254,0.333,0.947,False,22.26,24.03,1769,8,0.0,13330,queue,False,0.0,,,,,0,,0
1780328061,True,5,31.4,24.259999999999998,healthy,GREEN,green_stable,healthy,3,False,0.058,0.067,0.956,False,22.27,23.51,1240,9,0.0,13330,queue,False,0.0,,,,,0,,0
1780328062,True,5,64.6,40.86,healthy,YELLOW,recovery_held_by_backlog,healthy,3,False,0.324,0.133,0.952,False,22.27,39.47,17200,342,0.0,13341,queue,False,0.0,,,,,0,,0
1780328063,True,5,44.0,36.44,healthy,YELLOW,recovery_held_by_backlog,healthy,3,False,0.126,0.133,0.855,False,22.27,38.61,16340,1152,0.0,13362,queue,False,0.0,,,,,0,,0
1780328064,True,5,33.5,29.080000000000002,healthy,YELLOW,recovery_held_by_backlog,healthy,3,False,0.211,0.0,0.871,False,22.27,28.77,6500,605,0.0,13383,queue,False,0.0,,,,,0,,0
1780328065,True,5,57.9,33.839999999999996,healthy,YELLOW,recovery_held_by_backlog,healthy,3,False,0.075,0.0,0.888,False,22.27,48.07,25800,1573,0.0,13404,queue,False,0.0,,,,,0,,0
